institution,publication_count
Unknown,3216
Harvard University,2610
Chinese Academy of Sciences,1729
Stanford University,1710
University College London,1394
University of Oxford,1320
Centre National de la Recherche Scientifique,1281
University of Washington,1125
University of Cambridge,1107
University of Toronto,1048
Johns Hopkins University,1046
Inserm,1042
Massachusetts General Hospital,1015
Massachusetts Institute of Technology,979
Imperial College London,970
University of Pennsylvania,959
Cornell University,949
Tsinghua University,933
University of California San Diego,909
Brigham and Women's Hospital,879
University of Michigan,879
"University of California, San Francisco",856
"University of California, Berkeley",842
Columbia University,818
Yale University,796
"University of California, Los Angeles",795
University of Chinese Academy of Sciences,756
Peking University,753
Université Paris Cité,734
National University of Singapore,711
Broad Institute,708
Howard Hughes Medical Institute,703
Memorial Sloan Kettering Cancer Center,697
The University of Melbourne,671
Heidelberg University,657
National Institutes of Health,637
Sorbonne Université,627
Northwestern University,623
Dana-Farber Cancer Institute,617
The University of Texas MD Anderson Cancer Center,612
The University of Sydney,610
King's College London,607
KU Leuven,603
University of North Carolina at Chapel Hill,597
Shanghai Jiao Tong University,583
University of Copenhagen,578
UNSW Sydney,574
Washington University in St. Louis,572
Monash University,571
Karolinska Institutet,570
The University of Queensland,568
Icahn School of Medicine at Mount Sinai,565
Zhejiang University,557
University of Chicago,554
ETH Zurich,547
University of British Columbia,544
Assistance Publique – Hôpitaux de Paris,533
University of Edinburgh,532
University of Hong Kong,513
Nanyang Technological University,511
Sun Yat-sen University,504
University of Pittsburgh,490
Chinese University of Hong Kong,488
University of Manchester,477
Duke University,475
University of Science and Technology of China,472
Lawrence Berkeley National Laboratory,464
Fudan University,459
Emory University,456
Johns Hopkins Medicine,447
Huazhong University of Science and Technology,442
University of Minnesota,438
Ludwig-Maximilians-Universität München,438
New York University,437
Princeton University,431
The University of Texas Southwestern Medical Center,421
University of Amsterdam,417
Université Paris-Saclay,417
University of Wisconsin–Madison,416
The Ohio State University,408
Sichuan University,405
Charité - Universitätsmedizin Berlin,401
Technical University of Munich,398
Radboud University Nijmegen,398
McGill University,397
University of Southern California,397
University of Birmingham,397
Utrecht University,388
The University of Tokyo,388
University of Zurich,387
University of Glasgow,383
Central South University,378
Chinese Academy of Medical Sciences & Peking Union Medical College,375
Boston University,374
Istituti di Ricovero e Cura a Carattere Scientifico,373
University of Bristol,371
École Polytechnique Fédérale de Lausanne,370
Mayo Clinic,370
"University of Maryland, College Park",369
McMaster University,367
"University of California, Davis",365
Universitat de Barcelona,364
University of Groningen,363
The University of Adelaide,363
University of Florida,359
The University of Texas at Austin,359
University Hospital Heidelberg,357
Wuhan University,357
University of Helsinki,355
Queen Mary University of London,349
Erasmus MC,347
University of Colorado Denver,345
Mayo Clinic in Arizona,345
University of Utah,345
Baylor College of Medicine,339
