publication_year,topic,publication_count
2015,Genomics and Phylogenetic Studies,98
2015,Perovskite Materials and Applications,96
2015,Gut microbiota and health,92
2015,Graphene research and applications,87
2015,2D Materials and Applications,79
2015,Electrocatalysts for Energy Conversion,78
2015,Advancements in Battery Materials,73
2015,Advanced Photocatalysis Techniques,70
2015,Cancer Genomics and Diagnostics,69
2015,Advanced battery technologies research,65
2015,Quantum Dots Synthesis And Properties,65
2015,Cancer Immunotherapy and Biomarkers,64
2015,RNA modifications and cancer,64
2015,RNA and protein synthesis mechanisms,59
2015,CRISPR and Genetic Engineering,57
2015,RNA Research and Splicing,55
2015,Advanced Image and Video Retrieval Techniques,52
2015,Advanced Battery Materials and Technologies,50
2015,Immunotherapy and Immune Responses,47
2015,Immune Cell Function and Interaction,46
2015,MXene and MAX Phase Materials,46
2015,Microbial Community Ecology and Physiology,46
2015,Supercapacitor Materials and Fabrication,46
2015,Bioinformatics and Genomic Networks,45
2015,Conducting polymers and applications,45
2015,Immune cells in cancer,45
2015,Chalcogenide Semiconductor Thin Films,44
2015,Epigenetics and DNA Methylation,43
2015,Genetic Associations and Epidemiology,43
2015,Advanced Neural Network Applications,42
2015,Genomics and Chromatin Dynamics,41
2015,MicroRNA in disease regulation,41
2015,Neural dynamics and brain function,41
2015,Additive Manufacturing and 3D Printing Technologies,40
2015,Advanced biosensing and bioanalysis techniques,39
2015,Cancer-related molecular mechanisms research,38
2015,Functional Brain Connectivity Studies,38
2015,Topological Materials and Phenomena,38
2015,Computational Drug Discovery Methods,37
2015,Liver Disease Diagnosis and Treatment,37
2015,Metal-Organic Frameworks: Synthesis and Applications,36
2015,3D Printing in Biomedical Research,35
2015,CAR-T cell therapy research,35
2015,Meta-analysis and systematic reviews,35
2015,Microplastics and Plastic Pollution,35
2015,Advanced Battery Technologies Research,34
2015,"Health Systems, Economic Evaluations, Quality of Life",34
2015,Climate variability and models,33
2015,Topic Modeling,33
2015,RNA Interference and Gene Delivery,32
2015,Advanced Sensor and Energy Harvesting Materials,31
2015,Metabolomics and Mass Spectrometry Studies,31
2015,Microbial Metabolic Engineering and Bioproduction,31
2015,Neuroinflammation and Neurodegeneration Mechanisms,31
2015,Diet and metabolism studies,30
2015,Domain Adaptation and Few-Shot Learning,30
2015,Health disparities and outcomes,29
2015,Mental Health Research Topics,29
2015,Single-cell and spatial transcriptomics,29
2015,Ecology and Vegetation Dynamics Studies,28
2015,Protein Structure and Dynamics,28
2015,"Diabetes, Cardiovascular Risks, and Lipoproteins",27
2015,Multimodal Machine Learning Applications,27
2015,Tryptophan and brain disorders,27
2015,Advanced Memory and Neural Computing,26
2015,Autophagy in Disease and Therapy,26
2015,"Cancer, Hypoxia, and Metabolism",26
2015,Extracellular vesicles in disease,26
2015,Fuel Cells and Related Materials,26
2015,Gene expression and cancer classification,26
2015,Genomics and Rare Diseases,26
2015,Soil Carbon and Nitrogen Dynamics,26
2015,Alzheimer's disease research and treatments,25
2015,Health Policy Implementation Science,25
2015,Luminescence and Fluorescent Materials,25
2015,Nanoparticles: synthesis and applications,25
2015,Natural Language Processing Techniques,25
2015,Recycling and Waste Management Techniques,25
2015,Solid-state spectroscopy and crystallography,25
2015,Video Surveillance and Tracking Methods,25
2015,Lung Cancer Treatments and Mutations,24
2015,Advanced Vision and Imaging,23
2015,Chromosomal and Genetic Variations,23
2015,Covalent Organic Framework Applications,23
2015,Inflammasome and immune disorders,23
2015,"Obesity, Physical Activity, Diet",23
2015,T-cell and B-cell Immunology,23
2015,Air Quality and Health Impacts,22
2015,Clostridium difficile and Clostridium perfringens research,22
2015,Electrochemical Analysis and Applications,22
2015,Human Pose and Action Recognition,22
2015,Neuroscience and Neuropharmacology Research,22
2015,Plant and animal studies,22
2015,Environmental Sustainability in Business,21
2015,Immune Response and Inflammation,21
2015,Impact of Technology on Adolescents,21
2015,Species Distribution and Climate Change,21
