publication_year,publication_count,total_citations,average_citations,median_citations,open_access_count,retracted_count,open_access_percentage,retracted_percentage
2015,4546,8115745,1785.25,1172.0,2675,1,58.84,0.022
2016,4546,8016360,1763.39,1153.0,2773,2,61.0,0.044
2017,4546,7985222,1756.54,1152.0,2763,0,60.78,0.0
2018,4546,7161544,1575.35,1063.0,2787,4,61.31,0.088
2019,4546,6164699,1356.07,955.0,2943,2,64.74,0.044
2020,4545,7991589,1758.33,1063.0,3534,7,77.76,0.154
2021,4545,4695828,1033.19,677.0,3208,4,70.58,0.088
2022,4545,3186720,701.15,500.0,3149,5,69.28,0.11
2023,4545,2499803,550.01,371.0,3182,6,70.01,0.132
2024,4545,1659911,365.22,232.0,3028,13,66.62,0.286
2025,4545,660304,145.28,95.0,2971,4,65.37,0.088
