author,publication_count
Unknown,348
Yang Liu,140
Wei Zhang,117
Wei Li,103
Wei Chen,101
Jing Wang,101
Lei Zhang,100
Wei Liu,99
Wei Wang,91
Qiang Zhang,88
Jun Wang,87
Yang Yang,86
Xin Wang,86
Li Li,85
Victor Aboyans,85
Yan Wang,79
Edward H. Sargent,78
Chen Chen,77
Jun Chen,76
Yang Li,72
Simon I Hay,72
Hao Chen,70
Aviv Regev,70
Wei Huang,69
Jing Li,69
Jun Li,68
Lei Wang,68
Rui Zhang,67
Gad Getz,66
Yan Zhang,64
Yi Cui,64
Yu Zhang,63
OECD,63
Hui Wang,61
Hao Zhang,61
Yu Wang,60
Tao Zhang,59
Hao Wang,59
Yury Gogotsi,59
Ahmedin Jemal,59
Ying Wang,58
Hao Li,58
Victoria Delgado,58
Xin Li,57
Hui Li,56
Jiaguo Yu,56
Jun Liu,56
Peng Zhang,56
Li Zhang,55
Yu Chen,55
Jing Zhang,55
Ziyad Al‐Aly,55
Bin Liu,55
Jian Wang,55
Kai Zhang,55
Guido Kroemer,54
Nelson Alvis‐Guzmán,54
Yi Yang,53
Tao Wang,53
Peer Bork,52
Yi Zhang,52
Qi Wang,51
Christopher J L Murray,51
Kaj Blennow,50
Shi‐Zhang Qiao,50
Li Wang,49
Chao Wang,49
Jalal Arabloo,49
Dingsheng Wang,49
Wei Zhou,49
Peng Wang,49
Stephan Windecker,48
Henrik Zetterberg,48
Jedd D. Wolchok,48
Professor Gary S. Collins,48
Fan Zhang,48
Chen Wang,47
Jun Zhang,47
Jian Yang,47
Xin Chen,46
Freddie Bray,46
David Moher,46
Feng Zhang,46
Bo Li,46
Kenji Watanabe,46
Yan Li,46
Philippe Ciais,46
Ulf Landmesser,46
Kamlesh Khunti,45
Fei Wang,45
Jian Zhang,45
Takashi Taniguchi,45
Bo Wang,44
Xin Zhang,44
Ying Zhang,44
ESC Scientific Document Group,44
Meng Li,44
Lalit Dandona,44
Kai Chen,44
Zhong Lin Wang,44
Qian Wang,44
Ramnik J. Xavier,43
Naveed Sattar,43
Jia Liu,43
Jie Wang,43
Michaël Grätzel,43
Xiang Li,43
Rui Wang,43
Theo Vos,42
Rebecca L. Siegel,42
Bin Zhang,42
Yang Wang,42
Feng Gao,42
Rob Knight,42
Marco Roffi,42
Patrizio Lancellotti,42
Ning Zhang,42
Seyedali Mirjalili,41
Lin Li,41
Ali H. Mokdad,41
Foad Abd-Allah,41
Jian Li,41
Peter Jüni,40
Rakhi Dandona,40
Oskar Hansson,40
Jie Zhang,40
Fares Alahdab,40
Jun Ma,40
Xi Chen,39
Zhenan Bao,39
Chang Liu,39
Bo Zhang,39
Jing Chen,39
Deepak L. Bhatt,39
Gerhard Hindricks,39
Mohsen Naghavi,39
R. Abbott,39
S. Babak,39
Muktar Beshir Ahmed,39
Bing Zhang,38
D. Barker,38
Cristiana Abbafati,38
K. Ackley,38
Zulfiqar A Bhutta,38
Rehan Akbani,38
Ildiko Lingvay,38
G. Ashton,38
Bernard Iung,38
Yu Qiao,38
Hui Zhang,38
George Davey Smith,38
Curtis Huttenhower,38
Chunsheng Wang,38
Thomas Powles,38
Enriqueta Felip,37
Marko Sarstedt,37
A. Ain,37
Matthew D. Hellmann,37
Gregory A. Roth,37
Yan Liu,37
Eva Prescott,37
Piotr Ponikowski,37
Fabrice André,37
Isabela M. Benseñor,37
Héctor Bueno,37
Yadong Li,37
I. Bartos,37
Fabian J. Theis,37
S. M. Aston,37
Zhen Li,37
Yong Zhang,36
L. Barsotti,36
P. Ajith,36
R. X. Adhikari,36
A. Allocca,36
M. Agathos,36
G. Ballardin,36
Qorinah Estiningtyas Sakilah Adnani,36
Feng Wang,36
W. G. Anderson,36
Johan Ärnlöv,36
J. C. Barayoga,36
N. Aggarwal,36
P. Astone,36
Qi Zhang,36
Yuan Liu,36
Carl H. June,36
Till Bärnighausen,36
K. Arai,36
Wei Xu,36
F. Barone,35
N. Arnaud,35
Jie Li,35
Peng Li,35
C. Affeldt,35
B. Barr,35
S. B. Anderson,35
B. Allen,35
B. C. Barish,35
Jie Chen,35
Christian M. Ringle,35
Yong Wang,35
Fan Yang,35
Massimo Piepoli,35
L. Aiello,35
F. Acernese,35
Stefan Agewall,35
Wei Gao,35
J. S. Areeda,34
E. John Wherry,34
Raveendhara R. Bannuru,34
M. Barsuglia,34
Lei Liu,34
Feng Liu,34
P. A. Altin,34
Yue Wang,34
Eric Van Cutsem,34
Paul Flicek,34
C. Adams,34
Jie Yang,34
Toni K. Choueiri,34
R. Bassiri,34
Maciej Banach,34
Rohit Loomba,33
Gerasimos Filippatos,33
Han Zhang,33
Daolin Tang,33
M. C. Araya,33
Lei Chen,33
Hua Zhang,33
K. G. Arun,33
Rajaa Al‐Raddadi,33
Khurshid Alam,33
D. Barta,33
Yi Liu,33
Masatoshi Kudo,33
John Danesh,33
Rui Li,33
Yong Liu,33
Vincent Wai‐Sun Wong,33
O. D. Aguiar,33
Jie Xu,33
J. Bartlett,33
A. Basti,33
Yi Wang,32
Martin Reck,32
Syed Mohamed Aljunid,32
Jing Yang,32
Min Liu,32
Donna Fitzsimons,32
Ying Liu,32
Yang Bai,32
Tao Li,32
Nadia Harbeck,32
Lin Zhang,32
Kai Wang,32
V. B. Adya,32
Hao Wu,32
Lin Gu,32
Jun Lü,32
Jens Cosedis Nielsen,32
Bin Li,32
Yi Li,32
Jian Sun,32
Feng Li,32
Henry J. Snaith,32
Lirong Zheng,32
Valery L. Feigin,32
Ping Wang,31
Qiang Li,31
Nuha A. ElSayed,31
T. D. Abbott,31
F. Stephen Hodi,31
Georgina V. Long,31
Hong Li,31
Florian Fischer,31
Xin Yang,31
Bright Opoku Ahinkorah,31
Eric S. Lander,31
Sarah A. Teichmann,31
Gang Li,31
K. Agatsuma,31
Junwei Gu,31
Nicola Segata,31
Javed Butler,31
J. Betzwieser,31
Caroline Robert,31
Hai‐Long Jiang,31
Xiangfeng Duan,31
Jaegil Kim,31
Frank Ruschitzka,31
Li Yang,30
Ali Bijani,30
Xiaochen Dai,30
Yu Liu,30
S. W. Ballmer,30
Luis Paz‐Ares,30
