publication_year,publication_count,total_citations,average_citations,median_citations,maximum_citations
2015,4546,8115745,1785.25,1172.0,90366
2016,4546,8016360,1763.39,1153.0,224919
2017,4546,7985222,1756.54,1152.0,75720
2018,4546,7161544,1575.35,1063.0,88032
2019,4546,6164699,1356.07,955.0,37208
2020,4545,7991589,1758.33,1063.0,801217
2021,4545,4695828,1033.19,677.0,113620
2022,4545,3186720,701.15,500.0,22492
2023,4545,2499803,550.01,371.0,77357
2024,4545,1659911,365.22,232.0,25504
2025,4545,660304,145.28,95.0,20506
