publication_year,domain,publication_count
2015,Social Sciences,1999
2015,Physical Sciences,1026
2015,Health Sciences,1007
2015,Life Sciences,514
2016,Social Sciences,2003
2016,Health Sciences,1057
2016,Physical Sciences,1010
2016,Life Sciences,476
2017,Social Sciences,2097
2017,Health Sciences,1021
2017,Physical Sciences,954
2017,Life Sciences,474
2018,Social Sciences,2044
2018,Physical Sciences,1062
2018,Health Sciences,1027
2018,Life Sciences,413
2019,Social Sciences,1969
2019,Physical Sciences,1069
2019,Health Sciences,1028
2019,Life Sciences,480
2020,Health Sciences,1892
2020,Social Sciences,1704
2020,Physical Sciences,631
2020,Life Sciences,318
2021,Social Sciences,1923
2021,Health Sciences,1175
2021,Physical Sciences,964
2021,Life Sciences,483
2022,Social Sciences,1903
2022,Health Sciences,1112
2022,Physical Sciences,1032
2022,Life Sciences,498
2023,Social Sciences,1821
2023,Health Sciences,1202
2023,Physical Sciences,1139
2023,Life Sciences,383
2024,Social Sciences,1817
2024,Physical Sciences,1299
2024,Health Sciences,1041
2024,Life Sciences,388
2025,Social Sciences,1749
2025,Physical Sciences,1547
2025,Health Sciences,949
2025,Life Sciences,300
