primary_topic,publication_count,percentage
Electrocatalysts for Energy Conversion,784,1.57
SARS-CoV-2 and COVID-19 Research,644,1.29
Gut microbiota and health,612,1.22
Perovskite Materials and Applications,551,1.1
Advanced Neural Network Applications,506,1.01
Advancements in Battery Materials,491,0.98
Artificial Intelligence in Healthcare and Education,482,0.96
Cancer Immunotherapy and Biomarkers,474,0.95
Microplastics and Plastic Pollution,472,0.94
Advanced Photocatalysis Techniques,463,0.93
COVID-19 Clinical Research Studies,418,0.84
Single-cell and spatial transcriptomics,415,0.83
Genomics and Phylogenetic Studies,411,0.82
Advanced Sensor and Energy Harvesting Materials,307,0.61
Advanced battery technologies research,302,0.6
Topic Modeling,265,0.53
COVID-19 and Mental Health,256,0.51
Genetic Associations and Epidemiology,245,0.49
CAR-T cell therapy research,233,0.47
Metal-Organic Frameworks: Synthesis and Applications,229,0.46
Advanced Battery Materials and Technologies,224,0.45
Liver Disease Diagnosis and Treatment,219,0.44
CO2 Reduction Techniques and Catalysts,217,0.43
Computational Drug Discovery Methods,211,0.42
CRISPR and Genetic Engineering,210,0.42
Immune cells in cancer,204,0.41
Cancer Genomics and Diagnostics,199,0.4
Extracellular vesicles in disease,195,0.39
Neuroinflammation and Neurodegeneration Mechanisms,193,0.39
Diabetes Treatment and Management,193,0.39
Digital Transformation in Industry,192,0.38
Supercapacitor Materials and Fabrication,184,0.37
"Energy, Environment, Economic Growth",184,0.37
Meta-analysis and systematic reviews,184,0.37
Nanoparticles: synthesis and applications,183,0.37
Ferroptosis and cancer prognosis,180,0.36
Alzheimer's disease research and treatments,173,0.35
2D Materials and Applications,172,0.34
Long-Term Effects of COVID-19,167,0.33
Machine Learning in Materials Science,164,0.33
Nanoparticle-Based Drug Delivery,163,0.33
Inflammasome and immune disorders,162,0.32
Ammonia Synthesis and Nitrogen Reduction,161,0.32
MXene and MAX Phase Materials,158,0.32
Nanoplatforms for cancer theranostics,158,0.32
Blockchain Technology Applications and Security,155,0.31
Hybrid Renewable Energy Systems,151,0.3
Advanced Battery Technologies Research,144,0.29
Domain Adaptation and Few-Shot Learning,142,0.28
Electromagnetic wave absorption materials,141,0.28
Bioinformatics and Genomic Networks,139,0.28
RNA modifications and cancer,139,0.28
COVID-19 epidemiological studies,137,0.27
Covalent Organic Framework Applications,134,0.27
Soil Carbon and Nitrogen Dynamics,133,0.27
Advanced oxidation water treatment,132,0.26
"Cancer, Hypoxia, and Metabolism",132,0.26
Advanced Memory and Neural Computing,128,0.26
Immune Cell Function and Interaction,127,0.25
Catalytic Processes in Materials Science,126,0.25
Topological Materials and Phenomena,125,0.25
Wound Healing and Treatments,125,0.25
Online Learning and Analytics,123,0.25
Privacy-Preserving Technologies in Data,122,0.24
RNA Research and Splicing,122,0.24
Dementia and Cognitive Impairment Research,122,0.24
Antibiotic Resistance in Bacteria,122,0.24
Explainable Artificial Intelligence (XAI),122,0.24
Multimodal Machine Learning Applications,121,0.24
Cancer Cells and Metastasis,121,0.24
Smart Agriculture and AI,121,0.24
Organic Electronics and Photovoltaics,119,0.24
Functional Brain Connectivity Studies,116,0.23
Climate variability and models,116,0.23
Metaheuristic Optimization Algorithms Research,114,0.23
AI in cancer detection,112,0.22
Ethics and Social Impacts of AI,111,0.22
Epigenetics and DNA Methylation,109,0.22
Lung Cancer Treatments and Mutations,109,0.22
Protein Structure and Dynamics,108,0.22
AI in Service Interactions,108,0.22
3D Printing in Biomedical Research,107,0.21
Human Pose and Action Recognition,105,0.21
IoT and Edge/Fog Computing,105,0.21
Plant Stress Responses and Tolerance,105,0.21
RNA Interference and Gene Delivery,104,0.21
Video Surveillance and Tracking Methods,104,0.21
Genomics and Chromatin Dynamics,103,0.21
Generative Adversarial Networks and Image Synthesis,103,0.21
Autophagy in Disease and Therapy,102,0.2
Adsorption and biosorption for pollutant removal,102,0.2
Misinformation and Its Impacts,102,0.2
Additive Manufacturing and 3D Printing Technologies,101,0.2
Air Quality and Health Impacts,101,0.2
Graphene research and applications,101,0.2
Anomaly Detection Techniques and Applications,101,0.2
Remote-Sensing Image Classification,99,0.2
Plant-Microbe Interactions and Immunity,97,0.19
Mitochondrial Function and Pathology,96,0.19
Global Cancer Incidence and Screening,96,0.19
Quantum Computing Algorithms and Architecture,96,0.19
Pharmaceutical and Antibiotic Environmental Impacts,96,0.19
Glioma Diagnosis and Treatment,92,0.18
COVID-19 diagnosis using AI,92,0.18
Pulsars and Gravitational Waves Research,91,0.18
Microbial Community Ecology and Physiology,90,0.18
Pancreatic and Hepatic Oncology Research,89,0.18
Hepatocellular Carcinoma Treatment and Prognosis,89,0.18
Acute Ischemic Stroke Management,89,0.18
"Galaxies: Formation, Evolution, Phenomena",89,0.18
Parkinson's Disease Mechanisms and Treatments,88,0.18
High Entropy Alloys Studies,88,0.18
Corporate Social Responsibility Reporting,88,0.18
Inflammatory Bowel Disease,87,0.17
Phytochemicals and Antioxidant Activities,87,0.17
Image Enhancement Techniques,87,0.17
interferon and immune responses,86,0.17
Sustainable Supply Chain Management,86,0.17
Advanced Wireless Communication Technologies,86,0.17
Technology Adoption and User Behaviour,85,0.17
Immunotherapy and Immune Responses,84,0.17
"Diabetes, Cardiovascular Risks, and Lipoproteins",84,0.17
Advanced Image Processing Techniques,84,0.17
Digital Marketing and Social Media,84,0.17
Advanced Vision and Imaging,83,0.17
Network Security and Intrusion Detection,83,0.17
Additive Manufacturing Materials and Processes,82,0.16
Advanced Nanomaterials in Catalysis,80,0.16
Heavy metals in environment,78,0.16
Radiomics and Machine Learning in Medical Imaging,77,0.15
Health disparities and outcomes,77,0.15
Atrial Fibrillation Management and Outcomes,76,0.15
Nutrition and Health in Aging,76,0.15
Advanced Graph Neural Networks,76,0.15
Model Reduction and Neural Networks,76,0.15
Species Distribution and Climate Change,76,0.15
Big Data and Business Intelligence,75,0.15
Recommender Systems and Techniques,75,0.15
Metabolomics and Mass Spectrometry Studies,75,0.15
Lipoproteins and Cardiovascular Health,74,0.15
Prostate Cancer Treatment and Research,74,0.15
Health Policy Implementation Science,74,0.15
Solar-Powered Water Purification Methods,74,0.15
Metamaterials and Metasurfaces Applications,73,0.15
Neural dynamics and brain function,72,0.14
Atmospheric and Environmental Gas Dynamics,72,0.14
Blood Pressure and Hypertension Studies,72,0.14
Climate Change and Health Impacts,71,0.14
Radical Photochemical Reactions,71,0.14
Bladder and Urothelial Cancer Treatments,69,0.14
Environmental Sustainability in Business,69,0.14
Cosmology and Gravitation Theories,69,0.14
Extraction and Separation Processes,69,0.14
Diet and metabolism studies,68,0.14
Machine Fault Diagnosis Techniques,68,0.14
Autism Spectrum Disorder Research,67,0.13
Advanced biosensing and bioanalysis techniques,67,0.13
Physical Activity and Health,67,0.13
Sepsis Diagnosis and Treatment,66,0.13
Vaccine Coverage and Hesitancy,66,0.13
"Telomeres, Telomerase, and Senescence",65,0.13
Climate Change Policy and Economics,65,0.13
Nanocomposite Films for Food Packaging,65,0.13
Mosquito-borne diseases and control,64,0.13
Genomics and Rare Diseases,64,0.13
Circular RNAs in diseases,64,0.13
Digital Mental Health Interventions,64,0.13
biodegradable polymer synthesis and properties,64,0.13
Bacteriophages and microbial interactions,63,0.13
Quantum Information and Cryptography,63,0.13
Acute Myeloid Leukemia Research,63,0.13
Tryptophan and brain disorders,63,0.13
Adversarial Robustness in Machine Learning,63,0.13
Cancer-related molecular mechanisms research,62,0.12
Mental Health Research Topics,61,0.12
Machine Learning and Data Classification,61,0.12
Impact of Technology on Adolescents,61,0.12
Virtual Reality Applications and Impacts,61,0.12
"Obesity, Physical Activity, Diet",60,0.12
Machine Learning in Healthcare,60,0.12
Atmospheric chemistry and aerosols,59,0.12
Supply Chain Resilience and Risk Management,59,0.12
MicroRNA in disease regulation,59,0.12
Carbon and Quantum Dots Applications,59,0.12
Heart Failure Treatment and Management,59,0.12
Robotics and Sensor-Based Localization,58,0.12
Neural Networks and Applications,58,0.12
Sleep and related disorders,57,0.11
"Stellar, planetary, and galactic studies",57,0.11
Advanced Causal Inference Techniques,57,0.11
Antibiotic Use and Resistance,57,0.11
Advanced Image and Video Retrieval Techniques,56,0.11
Agriculture Sustainability and Environmental Impact,56,0.11
Land Use and Ecosystem Services,55,0.11
Membrane Separation Technologies,55,0.11
Qualitative Research Methods and Applications,55,0.11
Advanced Thermoelectric Materials and Devices,55,0.11
"Hydrogels: synthesis, properties, applications",54,0.11
EEG and Brain-Computer Interfaces,54,0.11
Face recognition and analysis,54,0.11
Nutritional Studies and Diet,54,0.11
HER2/EGFR in Cancer Research,54,0.11
COVID-19 and healthcare impacts,54,0.11
"Health Systems, Economic Evaluations, Quality of Life",53,0.11
Breast Cancer Treatment Studies,53,0.11
Thermochemical Biomass Conversion Processes,52,0.1
Remote Sensing in Agriculture,52,0.1
T-cell and B-cell Immunology,52,0.1
