publication_year,type,publication_count
2015,article,4040
2015,conference-paper,166
2015,book,155
2015,review,115
2015,book-chapter,70
2016,article,4003
2016,conference-paper,220
2016,book,150
2016,review,113
2016,book-chapter,60
2017,article,3876
2017,conference-paper,265
2017,book,182
2017,review,124
2017,book-chapter,99
2018,article,3881
2018,conference-paper,277
2018,book,180
2018,book-chapter,117
2018,review,91
2019,article,3957
2019,conference-paper,240
2019,book,154
2019,review,113
2019,book-chapter,82
2020,article,4119
2020,review,134
2020,conference-paper,125
2020,book,97
2020,book-chapter,70
2021,article,4040
2021,conference-paper,172
2021,review,151
2021,book,100
2021,book-chapter,82
2022,article,4054
2022,conference-paper,192
2022,review,124
2022,book,99
2022,book-chapter,76
2023,article,3971
2023,conference-paper,206
2023,book,138
2023,book-chapter,118
2023,review,112
2024,article,4013
2024,book,143
2024,book-chapter,141
2024,conference-paper,134
2024,review,114
2025,article,4146
2025,review,133
2025,book,105
2025,book-chapter,86
2025,conference-paper,74
2025,paratext,1
