id,title,publication_year,authors,source,cited_by_count,doi
https://openalex.org/W3038568908,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,2020,M. Shoji; LHD Experiment Group,Plasma and Fusion Research,801217,https://doi.org/10.1585/pfr.15.2402039
https://openalex.org/W2194775991,Deep Residual Learning for Image Recognition,2016,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,Unknown,224919,https://doi.org/10.1109/cvpr.2016.90
https://openalex.org/W3128646645,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021,Hyuna Sung; Adalberto M. Filho; Mathieu Laversanne; Jacques Ferlay; Rebecca L. Siegel; Isabelle Soerjomataram; Ahmedin Jemal; Freddie Bray,CA A Cancer Journal for Clinicians,113620,https://doi.org/10.3322/caac.21660
https://openalex.org/W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann; Cynthia D. Mulrow; Larissa Shamseer; Jennifer Tetzlaff; Elie A. Akl; Sue Brennan; Roger Chou; Julie Glanville; Jeremy Grimshaw; Asbjørn Hróbjartsson; Manoj M. Lalu; Tianjing Li; Elizabeth Loder; Evan Mayo‐Wilson; Steve McDonald; Luke A. McGuinness; Lesley Stewart; James Thomas; Andrea C. Tricco; Vivian Welch; Penny Whiting; David Moher,BMJ,100373,https://doi.org/10.1136/bmj.n71
https://openalex.org/W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,Olaf Ronneberger; Philipp Fischer; Thomas Brox,Lecture notes in computer science,90366,https://doi.org/10.1007/978-3-319-24574-4_28
https://openalex.org/W2889646458,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018,Freddie Bray; Jacques Ferlay; Isabelle Soerjomataram; Rebecca L. Siegel; Lindsey A. Torre; Ahmedin Jemal,CA A Cancer Journal for Clinicians,88032,https://doi.org/10.3322/caac.21492
https://openalex.org/W1951724000,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015,Douglas M. Bates; Martin Mächler; Benjamin M. Bolker; Steve Walker,Journal of Statistical Software,87265,https://doi.org/10.18637/jss.v067.i01
https://openalex.org/W2919115771,Deep learning,2015,Yann LeCun; Yoshua Bengio; Geoffrey E. Hinton,Nature,83067,https://doi.org/10.1038/nature14539
https://openalex.org/W4385245566,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2023,"Jakubův, Jan; Chvalovský, Karel; Goertzel, Zarathustra; Kaliszyk, Cezary; Olšák, Mirek; Piotrowski, Bartosz; Schulz, Stephan; Suda, Martin; Urban, Josef",DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),77357,https://doi.org/10.4230/lipics.itp.2023.19
https://openalex.org/W2163605009,ImageNet classification with deep convolutional neural networks,2017,Alex Krizhevsky; Ilya Sutskever; Geoffrey E. Hinton,Communications of the ACM,75720,https://doi.org/10.1145/3065386
https://openalex.org/W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,Shaoqing Ren; Kaiming He; Ross Girshick; Jian Sun,IEEE Transactions on Pattern Analysis and Machine Intelligence,54935,https://doi.org/10.1109/tpami.2016.2577031
https://openalex.org/W3001118548,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Chaolin Huang; Yeming Wang; Xingwang Li; Lili Ren; Jianping Zhao; Yi Hu; Li Zhang; Guohui Fan; Jiuyang Xu; Xiaoying Gu; Zhenshun Cheng; Ting Yu; Jiaan Xia; Yuan Wei; Wenjuan Wu; Xuelei Xie; Wen Yin; Hui Li; Min Liu; Xiao Yan; Hong Gao; Li Guo; Jungang Xie; Guangfa Wang; Rongmeng Jiang; Zhancheng Gao; Qi Jin; Jianwei Wang; Bin Cao,The Lancet,51911,https://doi.org/10.1016/s0140-6736(20)30183-5
https://openalex.org/W2295598076,XGBoost,2016,Tianqi Chen; Carlos Guestrin,Unknown,50650,https://doi.org/10.1145/2939672.2939785
https://openalex.org/W2964121744,Unknown,2015,"Mandi, Jayanta; Canoy, Rocsildes; Bucarey, Víctor; Guns, Tias",DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),50449,https://doi.org/10.4230/lipics.cp.2021.42
https://openalex.org/W2097117768,Going deeper with convolutions,2015,Christian Szegedy; Wei Liu; Yangqing Jia; Pierre Sermanet; Scott Reed; Dragomir Anguelov; Dumitru Erhan; Vincent Vanhoucke; Andrew Rabinovich,Unknown,47059,https://doi.org/10.1109/cvpr.2015.7298594
https://openalex.org/W3177828909,Highly accurate protein structure prediction with AlphaFold,2021,John Jumper; Richard Evans; Alexander Pritzel; Tim Green; Michael Figurnov; Olaf Ronneberger; Kathryn Tunyasuvunakool; Russ Bates; Augustin Žídek; Anna Potapenko; Alex Bridgland; Clemens Meyer; Simon Köhl; Andrew J. Ballard; Andrew Cowie; Bernardino Romera‐Paredes; Stanislav Nikolov; Rishub Jain; Jonas Adler; Trevor Back; Stig Petersen; David Reiman; Ellen Clancy; Michał Zieliński; Martin Steinegger; Michalina Pacholska; Tamas Berghammer; Sebastian W. Bodenstein; David Silver; Oriol Vinyals; Andrew Senior; Koray Kavukcuoglu; Pushmeet Kohli; Demis Hassabis,Nature,46323,https://doi.org/10.1038/s41586-021-03819-2
https://openalex.org/W2311203695,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,2016,Sudhir Kumar; Glen Stecher; Koichiro Tamura,Molecular Biology and Evolution,45963,https://doi.org/10.1093/molbev/msw054
https://openalex.org/W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018,"Kefallinos, Dionysios; Alexandris, Georgios; Maras, Alexis; Chaidos, Panagiotis; Gomony, Manil Dev; Corporaal, Henk; Soudris, Dimitrios; Xydis, Sotirios",DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),45831,https://doi.org/10.4230/lipics.cosit.2022.18
https://openalex.org/W2963446712,Densely Connected Convolutional Networks,2017,Gao Huang; Zhuang Liu; Laurens van der Maaten; Kilian Q. Weinberger,Unknown,45201,https://doi.org/10.1109/cvpr.2017.243
https://openalex.org/W2146512944,limma powers differential expression analyses for RNA-sequencing and microarray studies,2015,Matthew E. Ritchie; Belinda Phipson; Di Wu; Yifang Hu; Charity W. Law; Wei Shi; Gordon K. Smyth,Nucleic Acids Research,43844,https://doi.org/10.1093/nar/gkv007
https://openalex.org/W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,2018,Andrea C. Tricco; Erin Lillie; Wasifa Zarin; Kelly K. O’Brien; Heather Colquhoun; Danielle Levac; David Moher; Micah D.J. Peters; Tanya Horsley; Laura Weeks; Susanne Hempel; Elie A. Akl; Christine Chang; Jessie McGowan; Lesley Stewart; Lisa Hartling; Adrian Aldcroft; Michael G. Wilson; Chantelle Garritty; Simon Lewin; Christina Godfrey; Marilyn Macdonald; Étienne V Langlois; Karla Soares‐Weiser; Jo Moriarty; Tammy Clifford; Özge Tunçalp; Sharon E. Straus,Annals of Internal Medicine,42185,https://doi.org/10.7326/m18-0850
https://openalex.org/W2117539524,ImageNet Large Scale Visual Recognition Challenge,2015,Olga Russakovsky; Jia Deng; Hao Su; Jonathan Krause; Sanjeev Satheesh; Sean Ma; Zhiheng Huang; Andrej Karpathy; Aditya Khosla; Michael S. Bernstein; Alexander C. Berg; Li Fei-Fei,International Journal of Computer Vision,40450,https://doi.org/10.1007/s11263-015-0816-y
https://openalex.org/W2799524357,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,2018,Sudhir Kumar; Glen Stecher; Michael Li; Christina Knyaz; Koichiro Tamura,Molecular Biology and Evolution,39219,https://doi.org/10.1093/molbev/msy096
https://openalex.org/W3003257820,SciPy 1.0: fundamental algorithms for scientific computing in Python,2020,Pauli Virtanen; Ralf Gommers; Travis E. Oliphant; Matt Haberland; Tyler Reddy; David Cournapeau; Evgeni Burovski; Pearu Peterson; Warren Weckesser; Jonathan Bright; Stéfan J. van der Walt; Matthew Brett; Joshua Wilson; K. Jarrod Millman; Nikolay Mayorov; Andrew R. J. Nelson; Eric Jones; Robert Kern; Eric Larson; C J Carey; İlhan Polat; Yu Feng; Eric W. Moore; Jake VanderPlas; Denis Laxalde; Josef Perktold; Robert Cimrman; Ian Henriksen; E. A. Quintero; Charles R. Harris; Anne M. Archibald; Antônio H. Ribeiro; Fabian Pedregosa; Paul van Mulbregt; SciPy 1.0 Contributors; Aditya Vijaykumar; Alessandro Pietro Bardelli; Alex Rothberg; Andreas Hilboll; Andreas Kloeckner; Anthony Scopatz; Antony Lee; Ariel Rokem; C. Nathan Woods; Chad Fulton; Charles Masson; Christian Häggström; Clark Fitzgerald; David A. Nicholson; David R. Hagen; Dmitrii V. Pasechnik; Emanuele Olivetti; Eric Martin; Eric Wieser; Fabrice Silva; Felix Lenders; Florian Wilhelm; G. Young; Gavin A. Price; Gert-Ludwig Ingold; Gregory E. Allen; Gregory R. Lee; Hervé Audren; Irvin Probst; Jörg P. Dietrich; Jacob Silterra; James T Webber; Janko Slavič; Joel Nothman; Johannes Buchner; Johannes Kulick; Johannes L. Schönberger; José Vinícius de Miranda Cardoso; Joscha Reimer; Joseph Harrington; Juan Luis Cano Rodríguez; Juan Nunez-Iglesias; Justin Kuczynski; Kevin Tritz; Martin Thoma; Matthew Newville; Matthias Kümmerer; Maximilian Bolingbroke; Michael Tartre; Mikhail Pak; Nathaniel J. Smith; Nikolai Nowaczyk; Nikolay Shebanov; Oleksandr Pavlyk; Per A. Brodtkorb; Perry Lee; Robert T. McGibbon; Roman Feldbauer; Sam Lewis; Sam Tygier; Scott Sievert; Sebastiano Vigna; Stefan Peterson; Surhud More; Tadeusz Pudlik,Nature Methods,38973,https://doi.org/10.1038/s41592-019-0686-2
https://openalex.org/W1990513740,Diffusion of Innovations 1,2019,Everett M. Rogers; Arvind Singhal; Margaret M. Quinlan,Unknown,37208,https://doi.org/10.4324/9780203710753-35
