topic,publication_count,percentage
Advanced Photocatalysis Techniques,1163,2.33
Electrocatalysts for Energy Conversion,1153,2.31
SARS-CoV-2 and COVID-19 Research,1092,2.18
Advancements in Battery Materials,1092,2.18
COVID-19 Clinical Research Studies,1061,2.12
Advanced battery technologies research,1041,2.08
Advanced Battery Materials and Technologies,983,1.97
Cancer Immunotherapy and Biomarkers,941,1.88
Gut microbiota and health,940,1.88
Advanced Neural Network Applications,844,1.69
Perovskite Materials and Applications,834,1.67
Artificial Intelligence in Healthcare and Education,826,1.65
Genomics and Phylogenetic Studies,745,1.49
Advanced Battery Technologies Research,655,1.31
Single-cell and spatial transcriptomics,643,1.29
Immune cells in cancer,621,1.24
RNA modifications and cancer,583,1.17
Cancer Genomics and Diagnostics,578,1.16
Microplastics and Plastic Pollution,564,1.13
Advanced Sensor and Energy Harvesting Materials,555,1.11
Topic Modeling,550,1.1
Long-Term Effects of COVID-19,541,1.08
Conducting polymers and applications,540,1.08
CAR-T cell therapy research,539,1.08
Supercapacitor Materials and Fabrication,534,1.07
Immune Cell Function and Interaction,525,1.05
Immunotherapy and Immune Responses,509,1.02
Recycling and Waste Management Techniques,505,1.01
COVID-19 and Mental Health,473,0.95
Domain Adaptation and Few-Shot Learning,465,0.93
Catalytic Processes in Materials Science,464,0.93
Advanced Image and Video Retrieval Techniques,434,0.87
Epigenetics and DNA Methylation,421,0.84
COVID-19 diagnosis using AI,420,0.84
Metal-Organic Frameworks: Synthesis and Applications,419,0.84
Computational Drug Discovery Methods,415,0.83
Neuroinflammation and Neurodegeneration Mechanisms,411,0.82
2D Materials and Applications,410,0.82
Quantum Dots Synthesis And Properties,410,0.82
RNA and protein synthesis mechanisms,407,0.81
Fuel Cells and Related Materials,405,0.81
Liver Disease Diagnosis and Treatment,392,0.78
Bioinformatics and Genomic Networks,391,0.78
Diet and metabolism studies,389,0.78
CRISPR and Genetic Engineering,378,0.76
Alzheimer's disease research and treatments,375,0.75
Multimodal Machine Learning Applications,372,0.74
MXene and MAX Phase Materials,371,0.74
Graphene research and applications,371,0.74
CO2 Reduction Techniques and Catalysts,362,0.72
Nanoplatforms for cancer theranostics,361,0.72
RNA Research and Splicing,361,0.72
Covalent Organic Framework Applications,355,0.71
Anomaly Detection Techniques and Applications,350,0.7
